ID,Name,FullName,Age,Height,Weight,PhotoUrl,Nationality,Positions,BestPosition,Club,ClubPosition,ContractUntil,ClubNumber
158023,L. Messi,Lionel Messi,34,170,72,https://cdn.sofifa.com/players/158/023/22_60.png,Argentina,"RW,ST,CF",RW,Paris Saint-Germain,RW,2023,30
188545,R. Lewandowski,Robert Lewandowski,32,185,81,https://cdn.sofifa.com/players/188/545/22_60.png,Poland,ST,ST,FC Bayern München,ST,2023,9
231747,K. Mbappé,Kylian Mbappé,22,182,73,https://cdn.sofifa.com/players/231/747/22_60.png,France,"ST,LW",ST,Paris Saint-Germain,ST,2022,7
200389,J. Oblak,Jan Oblak,28,188,87,https://cdn.sofifa.com/players/200/389/22_60.png,Slovenia,GK,GK,Atlético Madrid,GK,2023,13
192985,K. De Bruyne,Kevin De Bruyne,30,181,70,https://cdn.sofifa.com/players/192/985/22_60.png,Belgium,"CM,CAM",CM,Manchester City,CM,2025,17
190871,Neymar Jr,Neymar da Silva Santos Jr.,29,175,68,https://cdn.sofifa.com/players/190/871/22_60.png,Brazil,"LW,CAM",LW,Paris Saint-Germain,LW,2025,10
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,36,187,83,https://cdn.sofifa.com/players/020/801/22_60.png,Portugal,"ST,LW",ST,Manchester United,ST,2023,7
215914,N. Kanté,N'Golo Kanté,30,168,70,https://cdn.sofifa.com/players/215/914/22_60.png,France,"CDM,CM",CDM,Chelsea,CM,2023,7
202126,H. Kane,Harry Kane,27,188,89,https://cdn.sofifa.com/players/202/126/22_60.png,England,ST,ST,Tottenham Hotspur,ST,2024,10
192448,M. ter Stegen,Marc-André ter Stegen,29,187,85,https://cdn.sofifa.com/players/192/448/22_60.png,Germany,GK,GK,FC Barcelona,GK,2025,1
167495,M. Neuer,Manuel Neuer,35,193,93,https://cdn.sofifa.com/players/167/495/22_60.png,Germany,GK,GK,FC Bayern München,GK,2023,1
165153,K. Benzema,Karim Benzema,33,185,81,https://cdn.sofifa.com/players/165/153/22_60.png,France,"CF,ST",CF,Real Madrid,CF,2023,9
192119,T. Courtois,Thibaut Courtois,29,199,96,https://cdn.sofifa.com/players/192/119/22_60.png,Belgium,GK,GK,Real Madrid,GK,2026,1
200104,H. Son,Heung Min Son,28,183,78,https://cdn.sofifa.com/players/200/104/22_60.png,Korea Republic,"LM,CF,LW",LM,Tottenham Hotspur,LW,2025,7
200145,Casemiro,Carlos Henrique Venancio Casimiro,29,185,84,https://cdn.sofifa.com/players/200/145/22_60.png,Brazil,CDM,CDM,Real Madrid,CDM,2025,14
203376,V. van Dijk,Virgil van Dijk,29,193,92,https://cdn.sofifa.com/players/203/376/22_60.png,Netherlands,CB,CB,Liverpool,CB,2025,4
208722,S. Mané,Sadio Mané,29,175,69,https://cdn.sofifa.com/players/208/722/22_60.png,Senegal,LW,LW,Liverpool,LW,2023,10
210257,Ederson,Ederson Santana de Moraes,27,188,86,https://cdn.sofifa.com/players/210/257/22_60.png,Brazil,GK,GK,Manchester City,GK,2026,31
212622,J. Kimmich,Joshua Kimmich,26,177,75,https://cdn.sofifa.com/players/212/622/22_60.png,Germany,"CDM,RB",CDM,FC Bayern München,CDM,2025,6
212831,Alisson,Alisson Ramses Becker,28,191,91,https://cdn.sofifa.com/players/212/831/22_60.png,Brazil,GK,GK,Liverpool,GK,2027,1
230621,G. Donnarumma,Gianluigi Donnarumma,22,196,90,https://cdn.sofifa.com/players/230/621/22_60.png,Italy,GK,GK,Paris Saint-Germain,GK,2026,50
209331,M. Salah,Mohamed Salah,29,175,71,https://cdn.sofifa.com/players/209/331/22_60.png,Egypt,RW,RW,Liverpool,RW,2023,11
239085,E. Haaland,Erling Haaland,20,194,94,https://cdn.sofifa.com/players/239/085/22_60.png,Norway,ST,ST,Borussia Dortmund,ST,2024,9
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,26,179,69,https://cdn.sofifa.com/players/212/198/22_60.png,Portugal,CAM,CAM,Manchester United,CAM,2025,18
